day,events,time,pedestrians,traffic,speed,rain,fog,clouds
Wednesday,False,early morning,low,low,high,no,no,no
Wednesday,False,evening,low,medium,medium,no,no,no
Wednesday,False,late evening,low,medium,medium,no,heavy,no
Wednesday,False,late morning,medium,medium,medium,no,no,no
Wednesday,False,morning,medium,medium,medium,no,no,no
Wednesday,False,night,low,low,high,no,no,no
Thursday,False,afternoon,medium,medium,medium,no,no,light
Thursday,False,early evening,medium,medium,medium,no,no,heavy
Thursday,False,early morning,low,medium,high,no,no,no
Thursday,False,evening,low,medium,medium,no,no,heavy
Thursday,False,late evening,low,medium,medium,no,no,heavy
Thursday,False,late morning,medium,medium,medium,no,no,heavy
Thursday,False,morning,medium,medium,medium,no,no,heavy
Thursday,False,night,low,low,high,no,heavy,no
Friday,False,afternoon,medium,medium,medium,no,moderate,no
Friday,False,early evening,low,medium,medium,no,heavy,no
Friday,False,early morning,low,medium,medium,no,light,moderate
Friday,False,evening,low,medium,medium,no,heavy,no
Friday,False,late evening,low,medium,high,no,heavy,moderate
Friday,False,late morning,medium,medium,medium,no,moderate,light
Friday,False,morning,medium,medium,medium,no,heavy,moderate
Friday,False,night,low,medium,high,no,no,heavy
Saturday,False,afternoon,high,medium,medium,no,light,heavy
Saturday,False,early evening,medium,medium,medium,no,heavy,heavy
Saturday,False,early morning,low,low,high,no,no,moderate
Saturday,False,evening,low,medium,medium,no,heavy,heavy
Saturday,False,late evening,low,medium,medium,no,heavy,heavy
Saturday,False,late morning,high,medium,high,no,no,light
Saturday,False,morning,medium,medium,high,no,no,no
Saturday,False,night,low,medium,medium,no,light,heavy
Sunday,False,afternoon,medium,medium,high,light,heavy,heavy
Sunday,False,early evening,low,medium,medium,no,heavy,no
Sunday,False,early morning,low,medium,high,light,heavy,heavy
Sunday,False,evening,low,medium,high,no,no,no
Sunday,False,late evening,low,medium,high,no,no,no
Sunday,False,late morning,medium,medium,high,light,heavy,heavy
Sunday,False,morning,low,medium,high,light,heavy,heavy
Sunday,False,night,low,medium,medium,light,heavy,heavy
Monday,True,afternoon,medium,heavy,medium,no,heavy,no
Monday,True,early evening,low,medium,medium,no,no,no
Monday,True,early morning,low,medium,high,no,no,no
Monday,True,evening,low,medium,medium,no,no,no
Monday,True,late evening,low,medium,medium,no,no,no
Monday,True,late morning,medium,medium,medium,no,light,no
Monday,True,morning,low,medium,medium,no,light,no
Monday,True,night,low,medium,high,no,no,no
Tuesday,False,afternoon,medium,heavy,medium,no,no,no
Tuesday,False,early evening,medium,heavy,medium,no,no,no
Tuesday,False,early morning,low,medium,high,no,no,no
Tuesday,False,evening,low,medium,medium,no,no,light
Tuesday,False,late evening,low,medium,high,no,no,heavy
Tuesday,False,late morning,medium,medium,medium,no,no,no
Tuesday,False,morning,medium,heavy,medium,no,no,no
Tuesday,False,night,low,low,high,no,no,no
Wednesday,False,afternoon,medium,heavy,medium,no,no,heavy
Wednesday,False,early evening,low,heavy,medium,no,light,heavy
Wednesday,False,early morning,low,medium,high,no,no,heavy
Wednesday,False,evening,low,medium,medium,no,no,heavy
Wednesday,False,late evening,low,medium,medium,no,moderate,moderate
Wednesday,False,late morning,medium,medium,medium,no,no,heavy
Wednesday,False,morning,medium,heavy,medium,no,no,heavy
Wednesday,False,night,low,medium,high,no,no,heavy
Thursday,False,afternoon,medium,heavy,medium,light,heavy,heavy
Thursday,False,early evening,low,heavy,medium,light,heavy,heavy
Thursday,False,early morning,low,medium,medium,light,heavy,no
Thursday,False,evening,low,medium,medium,moderate,heavy,heavy
Thursday,False,late evening,low,medium,medium,light,no,no
Thursday,False,late morning,low,medium,low,light,heavy,heavy
Thursday,False,morning,low,heavy,low,light,heavy,heavy
Thursday,False,night,low,medium,high,no,heavy,heavy
Friday,False,afternoon,high,heavy,medium,no,light,no
Friday,False,early evening,low,heavy,medium,no,light,no
Friday,False,early morning,low,medium,medium,no,no,no
Friday,False,evening,low,medium,medium,no,no,no
Friday,False,late evening,low,medium,medium,no,no,no
Friday,False,late morning,medium,heavy,medium,no,light,no
Friday,False,morning,medium,heavy,medium,no,no,no
Friday,False,night,low,medium,medium,no,no,no
Saturday,False,afternoon,high,heavy,medium,no,no,no
Saturday,False,early evening,low,heavy,medium,no,no,no
Saturday,False,early morning,low,medium,medium,no,no,no
Saturday,False,evening,low,medium,medium,no,no,no
Saturday,False,late evening,low,medium,medium,no,no,no
Saturday,False,late morning,medium,heavy,medium,no,no,no
Saturday,False,morning,medium,medium,medium,no,no,light
Saturday,False,night,low,medium,medium,no,no,no
Sunday,False,afternoon,high,medium,medium,no,no,no
Sunday,False,early evening,low,medium,medium,no,no,heavy
Sunday,False,early morning,low,medium,high,no,no,no
Sunday,False,evening,low,medium,medium,no,no,heavy
Sunday,False,late evening,low,medium,medium,no,no,heavy
Sunday,False,late morning,high,medium,medium,no,no,no
Sunday,False,morning,medium,medium,high,no,no,no
Sunday,False,night,low,medium,medium,no,no,no
Monday,False,afternoon,medium,medium,medium,no,no,heavy
Monday,False,early evening,low,medium,medium,no,no,light
Monday,False,early morning,low,low,medium,no,no,heavy
Monday,False,evening,low,medium,medium,no,no,heavy
Monday,False,late evening,low,low,medium,no,no,light
Monday,False,late morning,medium,medium,medium,no,no,moderate
Monday,False,morning,medium,medium,medium,no,no,heavy
Monday,False,night,low,low,medium,no,no,heavy
Tuesday,False,afternoon,medium,medium,medium,no,light,heavy
Tuesday,False,early evening,low,medium,medium,light,heavy,heavy
Tuesday,False,early morning,low,low,medium,no,no,no
Tuesday,False,evening,low,medium,medium,light,heavy,moderate
Tuesday,False,late evening,low,low,medium,light,heavy,moderate
Tuesday,False,late morning,medium,medium,medium,no,no,heavy
Tuesday,False,morning,medium,medium,low,no,no,moderate
Tuesday,False,night,low,low,medium,no,no,no
Wednesday,False,afternoon,medium,medium,low,no,no,no
Wednesday,False,early evening,low,low,medium,no,no,no
Wednesday,False,early morning,low,low,medium,light,moderate,heavy
Wednesday,False,evening,low,low,medium,no,no,no
Wednesday,False,late evening,low,low,medium,no,no,no
Wednesday,False,late morning,medium,low,medium,no,no,no
Wednesday,False,morning,medium,low,medium,no,no,no
Wednesday,False,night,low,low,medium,light,heavy,heavy
Thursday,False,afternoon,medium,medium,medium,no,no,no
Thursday,False,early evening,low,low,medium,no,no,no
Thursday,False,early morning,low,low,medium,no,no,no
Thursday,False,evening,low,low,medium,no,no,no
Thursday,False,late evening,low,low,medium,no,no,no
Thursday,False,late morning,medium,low,medium,no,no,no
Thursday,False,morning,low,low,low,no,no,no
Thursday,False,night,low,low,medium,no,no,no
Friday,False,afternoon,medium,medium,medium,no,no,heavy
Friday,False,early evening,low,medium,medium,no,no,moderate
Friday,False,early morning,low,low,medium,no,no,no
Friday,False,evening,low,medium,medium,no,no,no
Friday,False,late evening,low,low,medium,no,no,no
Friday,False,late morning,medium,medium,medium,no,no,no
Friday,False,morning,medium,medium,medium,no,no,no
Friday,False,night,low,low,medium,no,no,no
Saturday,False,afternoon,low,medium,medium,no,no,heavy
Saturday,False,early evening,low,medium,medium,no,no,heavy
Saturday,False,early morning,low,low,medium,no,no,no
Saturday,False,evening,low,medium,medium,no,no,light
Saturday,False,late evening,low,medium,medium,no,no,light
Saturday,False,late morning,low,medium,medium,no,no,heavy
Saturday,False,morning,low,medium,medium,no,no,heavy
Saturday,False,night,low,medium,medium,no,no,no
Sunday,False,afternoon,high,heavy,medium,no,no,light
Sunday,False,early evening,low,medium,medium,no,no,moderate
Sunday,False,early morning,low,low,medium,no,no,no
Sunday,False,evening,low,medium,medium,no,no,moderate
Sunday,False,late evening,low,medium,medium,no,no,moderate
Sunday,False,late morning,medium,medium,medium,no,no,no
Sunday,False,morning,medium,medium,high,no,no,no
Sunday,False,night,low,medium,medium,no,no,no
Monday,False,afternoon,high,heavy,medium,no,no,no
Monday,False,early evening,low,heavy,medium,no,no,no
Monday,False,early morning,low,medium,medium,no,no,no
Monday,False,evening,low,medium,medium,no,no,no
Monday,False,late evening,low,medium,medium,no,no,no
Monday,False,late morning,medium,medium,medium,no,no,no
Monday,False,morning,medium,medium,medium,no,no,no
Monday,False,night,low,low,medium,no,no,no
Tuesday,False,afternoon,high,heavy,medium,no,no,no
Tuesday,False,early evening,medium,heavy,medium,no,no,no
Tuesday,False,early morning,low,medium,medium,no,no,light
Tuesday,False,evening,low,medium,medium,no,no,no
Tuesday,False,late evening,low,medium,medium,no,no,heavy
Tuesday,False,late morning,medium,heavy,medium,no,no,no
Tuesday,False,morning,medium,heavy,medium,no,no,light
Tuesday,False,night,low,low,medium,no,no,no
Wednesday,False,afternoon,medium,heavy,medium,no,no,light
Wednesday,False,early evening,medium,heavy,medium,no,no,heavy
Wednesday,False,early morning,low,medium,medium,no,no,light
Wednesday,False,evening,low,medium,medium,no,light,heavy
Wednesday,False,late evening,low,medium,medium,light,heavy,heavy
Wednesday,False,late morning,medium,heavy,medium,no,no,light
Wednesday,False,morning,medium,heavy,medium,no,no,heavy
Wednesday,False,night,low,low,medium,no,no,heavy
Thursday,False,afternoon,medium,heavy,medium,no,heavy,moderate
Thursday,False,early evening,low,heavy,medium,no,heavy,no
Thursday,False,early morning,low,medium,medium,light,heavy,heavy
Thursday,False,evening,low,medium,medium,no,heavy,moderate
Thursday,False,late evening,low,medium,medium,no,heavy,moderate
Thursday,False,late morning,medium,heavy,medium,no,heavy,heavy
Thursday,False,morning,medium,heavy,low,light,heavy,heavy
Thursday,False,night,low,low,medium,light,heavy,heavy
Friday,False,afternoon,high,heavy,medium,light,heavy,heavy
Friday,False,early evening,low,heavy,medium,no,light,no
Friday,False,early morning,low,medium,medium,light,heavy,heavy
Friday,False,evening,low,medium,medium,no,no,no
Friday,False,late evening,low,medium,medium,no,no,no
Friday,False,late morning,medium,heavy,medium,light,heavy,moderate
Friday,False,morning,medium,heavy,low,light,heavy,heavy
Friday,False,night,low,medium,medium,no,heavy,heavy
Saturday,False,afternoon,high,heavy,medium,no,no,no
Saturday,False,early evening,low,medium,medium,no,no,no
Saturday,False,early morning,low,low,medium,no,no,no
Saturday,False,evening,low,medium,medium,no,no,no
Saturday,False,late evening,low,medium,medium,no,no,no
